datetime,dew,humidity,precip,precipprob,windspeed_x,cloudcover,visibility,solarenergy,river_discharge,weathercode,apparent_temperature_mean,rain_sum,precipitation_hours,windspeed_y,et0_fao_evapotranspiration
2018-09-26,0.8975409836065574,0.8883792048929662,0.025157232704402517,1.0,0.44117647058823534,0.7950310559006211,0.46153846153846145,0.158590308370044,0.22254335260115607,0.8461538461538463,0.8124999999999998,0.4,0.4782608695652174,0.35754189944134074,0.4761904761904761
2018-09-27,0.8688524590163934,0.8042813455657492,0.03773584905660377,1.0,0.1512605042016807,0.7453416149068323,0.5384615384615383,0.4625550660792951,0.20231213872832374,0.8153846153846154,0.8198529411764706,0.09375,0.21739130434782608,0.18994413407821234,0.5457875457875458
2018-09-28,0.9016393442622951,0.8348623853211008,0.018867924528301886,1.0,0.180672268907563,0.613871635610766,0.5897435897435896,0.42731277533039647,0.18208092485549135,0.7846153846153847,0.8602941176470584,0.03125,0.13043478260869565,0.24581005586592178,0.5805860805860805
2018-09-29,0.8893442622950821,0.7874617737003056,0.0,0.0,0.16806722689075632,0.3530020703933748,0.5128205128205128,0.5770925110132158,0.1676300578034682,0.7846153846153847,0.8602941176470584,0.0125,0.08695652173913043,0.20670391061452517,0.5805860805860805
2018-09-30,0.8729508196721311,0.759938837920489,0.0,0.0,0.2436974789915966,0.25465838509316774,0.46153846153846145,0.7048458149779736,0.15895953757225437,0.7846153846153847,0.7904411764705881,0.0125,0.043478260869565216,0.34636871508379885,0.6373626373626373
2018-10-01,0.8073770491803279,0.6712538226299694,0.0,0.0,0.2436974789915966,0.49896480331262943,0.3846153846153846,0.748898678414097,0.14739884393063588,0.7846153846153847,0.7647058823529411,0.01875,0.08695652173913043,0.18435754189944134,0.586080586080586
2018-10-02,0.8032786885245902,0.7064220183486236,0.0,0.0,0.3319327731092437,0.2639751552795031,0.46153846153846145,0.7268722466960352,0.1416184971098266,0.015384615384615385,0.7426470588235292,0.0,0.0,0.2737430167597765,0.6373626373626373
2018-10-03,0.8032786885245902,0.675840978593272,0.0440251572327044,1.0,0.1050420168067227,0.23188405797101447,0.6153846153846154,0.6475770925110131,0.13583815028901736,0.7846153846153847,0.775735294117647,0.00625,0.043478260869565216,0.061452513966480465,0.5695970695970696
2018-10-04,0.8237704918032787,0.7293577981651373,0.27044025157232704,1.0,0.2563025210084034,0.16356107660455488,0.5641025641025641,0.7092511013215858,0.13005780346820808,0.7846153846153847,0.775735294117647,0.03125,0.08695652173913043,0.229050279329609,0.5439560439560438
2018-10-05,0.8155737704918034,0.7262996941896023,0.1761006289308176,1.0,0.180672268907563,0.12939958592132506,0.641025641025641,0.6519823788546254,0.12427745664739887,0.015384615384615385,0.7904411764705881,0.0,0.0,0.08938547486033524,0.5695970695970696
2018-10-06,0.8032786885245902,0.6865443425076452,0.09433962264150944,1.0,0.13865546218487396,0.12732919254658387,0.33333333333333326,0.6343612334801761,0.11849710982658962,0.03076923076923077,0.7647058823529411,0.0,0.0,0.07262569832402235,0.5384615384615385
2018-10-07,0.7622950819672131,0.6238532110091741,0.0440251572327044,1.0,0.016806722689075654,0.19358178053830227,0.4871794871794872,0.6696035242290749,0.115606936416185,0.9384615384615385,0.7058823529411764,0.1375,0.08695652173913043,0.08379888268156424,0.510989010989011
2018-10-08,0.7581967213114755,0.631498470948012,0.0,0.0,0.180672268907563,0.3467908902691511,0.46153846153846145,0.6607929515418502,0.11271676300578037,0.8153846153846154,0.6948529411764703,0.03125,0.043478260869565216,0.15083798882681568,0.5054945054945055
2018-10-09,0.7459016393442623,0.6681957186544341,0.0,0.0,0.273109243697479,0.6055900621118012,0.3846153846153846,0.6740088105726871,0.10982658959537575,0.8153846153846154,0.716911764705882,0.0375,0.08695652173913043,0.19553072625698328,0.5402930402930401
2018-10-10,0.8073770491803279,0.8715596330275226,0.6918238993710691,1.0,0.5168067226890756,0.8033126293995858,0.3076923076923077,0.5991189427312774,0.17341040462427745,0.9692307692307693,0.650735294117647,0.69375,0.43478260869565216,0.4692737430167597,0.48717948717948717
2018-10-12,0.8155737704918034,0.9678899082568804,0.1949685534591195,1.0,0.44117647058823534,0.9513457556935818,0.2564102564102564,0.21585903083700442,0.1994219653179191,0.9384615384615385,0.5735294117647056,0.41875,0.5217391304347826,0.4860335195530726,0.11172161172161171
2018-10-13,0.7827868852459017,0.9480122324159019,0.4150943396226415,1.0,0.44117647058823534,0.8498964803312629,0.33333333333333326,0.19383259911894274,0.1676300578034682,0.8153846153846154,0.5624999999999998,0.325,0.5217391304347826,0.553072625698324,0.11904761904761901
2018-10-14,0.7581967213114755,0.8577981651376145,0.44025157232704404,1.0,0.319327731092437,0.7008281573498965,0.3589743589743589,0.6872246696035241,0.13872832369942198,0.03076923076923077,0.6286764705882351,0.0,0.0,0.20111731843575423,0.48534798534798534
2018-10-15,0.7254098360655739,0.759938837920489,0.0880503144654088,1.0,0.3319327731092437,0.12732919254658387,0.41025641025641013,0.6607929515418502,0.12138728323699424,0.015384615384615385,0.5624999999999998,0.0,0.0,0.3351955307262571,0.5274725274725274
