humidity,precip,windspeed,winddir,sealevelpressure,cloudcover,visibility,moonphase,conditions
89.4,15.3,11.2,192.4,999.1,73.1,6.3,0.73,1
87.9,11.1,18.7,161.6,998.6,72.3,6.7,0.75,1
93.1,33.8,16.6,162.9,1001.0,87.2,6.7,0.79,1
93.9,19.7,17.6,200.8,1002.4,92.9,5.5,0.83,1
94.3,20.0,15.5,222.4,1002.1,91.2,5.8,0.86,1
88.7,5.6,15.8,224.8,1001.3,74.9,6.5,0.89,1
91.2,2.1,17.6,208.9,1001.1,72.1,6.7,0.92,1
86.5,2.3,10.1,154.1,1000.1,60.5,7.1,0.95,1
87.6,1.2,19.1,145.2,999.8,66.1,7.7,0.0,1
87.6,2.1,20.5,133.4,999.5,73.4,7.0,0.02,1
89.3,10.0,16.9,165.3,1001.1,82.2,7.2,0.06,1
91.2,18.1,18.7,181.0,1002.6,89.3,7.2,0.09,1
92.5,18.4,21.2,195.1,1003.8,86.7,6.4,0.13,1
90.9,9.5,17.3,197.5,1004.7,89.4,6.4,0.16,1
92.5,8.3,14.0,228.3,1004.3,84.2,7.1,0.2,1
92.2,6.9,9.0,301.3,1002.8,86.3,6.9,0.25,1
91.7,2.9,12.2,125.3,1002.9,87.4,6.2,0.27,1
90.1,3.3,15.5,144.8,1002.8,83.6,6.9,0.31,1
90.1,4.9,14.4,166.9,1002.5,78.0,6.7,0.34,1
89.9,3.4,11.2,173.0,1002.9,78.8,6.8,0.38,1
89.0,2.4,11.2,165.2,1004.1,73.9,6.7,0.42,1
87.5,0.6,13.3,152.3,1005.1,85.8,7.0,0.45,1
88.0,2.7,14.8,179.1,1003.3,83.2,6.5,0.5,1
89.1,5.2,9.4,188.3,1002.0,81.9,6.7,0.52,1
91.1,2.0,9.7,151.0,1002.2,86.1,7.0,0.55,1
90.9,25.9,24.8,104.9,1001.3,85.1,6.2,0.59,1
95.7,64.6,27.7,146.8,1003.5,90.4,5.1,0.62,1
94.2,29.4,20.9,116.5,1004.9,93.8,5.5,0.65,1
94.6,48.8,17.3,155.9,1006.8,95.2,5.7,0.68,1
84.0,0.0,6.8,152.4,1005.6,36.3,6.6,0.71,0
92.2,4.2,10.8,145.6,1003.0,77.2,6.2,0.75,1
93.5,14.9,16.9,119.9,1004.0,92.0,6.0,0.78,1
92.5,10.6,14.4,146.8,1004.1,93.2,6.3,0.81,1
91.3,5.1,15.5,181.7,1003.9,88.4,6.1,0.84,1
91.2,8.8,16.9,187.6,1003.5,86.9,6.7,0.88,1
92.3,9.9,13.0,191.8,1003.3,84.1,6.0,0.91,1
93.6,9.7,10.1,175.3,1002.0,92.1,6.0,0.94,1
93.2,10.6,12.6,174.9,1000.8,88.6,6.7,0.97,1
92.4,8.1,14.8,158.8,1002.1,92.5,6.0,0.0,1
92.4,9.2,17.3,149.2,1005.3,91.2,5.5,0.04,1
91.7,7.4,15.1,167.1,1005.8,89.4,6.2,0.08,1
89.8,1.8,14.8,185.7,1005.0,64.6,6.5,0.11,1
89.2,2.7,16.2,199.3,1005.4,39.1,6.3,0.15,1
88.4,3.1,17.6,192.7,1005.8,34.3,6.4,0.18,1
88.1,2.4,11.2,198.0,1006.3,45.4,6.5,0.22,1
92.1,2.6,11.2,231.5,1004.9,81.6,7.2,0.25,1
85.6,0.7,6.8,313.9,1004.0,76.8,6.3,0.29,1
82.7,0.0,7.6,302.2,1004.7,67.4,6.4,0.33,0
84.3,1.3,7.2,327.1,1007.8,62.9,5.9,0.36,1
83.6,1.1,9.7,348.8,1008.9,54.5,6.5,0.4,1
87.5,0.0,6.5,318.6,1003.3,75.9,24.1,0.43,0
88.9,0.0,7.2,287.2,1003.3,86.2,24.1,0.47,0
91.2,0.0,7.6,222.3,1003.3,85.4,24.1,0.5,0
88.1,0.0,10.1,177.3,1003.3,73.1,24.1,0.54,0
92.2,0.2,10.8,203.3,1003.3,79.5,24.1,0.57,1
92.4,1.6,16.6,216.6,1003.3,81.6,24.1,0.6,1
93.2,15.4,19.8,216.9,1003.3,84.6,24.1,0.63,1
90.6,5.2,9.7,260.6,1003.3,79.0,24.1,0.67,1
77.2,0.4,7.9,2.6,1003.3,62.6,24.1,0.7,1
87.3,0.0,11.9,45.8,1003.3,83.6,24.1,0.73,0
89.3,0.5,7.9,98.8,1003.3,81.0,24.1,0.75,1
84.1,1.2,6.5,199.5,1003.3,56.5,24.1,0.8,1
89.9,6.9,8.6,28.6,1003.3,83.7,24.1,0.83,1
88.4,8.3,19.4,315.4,1003.3,68.6,24.1,0.86,1
87.5,2.0,8.6,262.5,1003.3,30.8,24.1,0.89,1
85.3,4.9,6.5,274.7,1003.3,28.8,24.1,0.93,1
82.0,3.0,5.8,342.8,1003.3,36.2,24.1,0.96,1
80.8,0.6,9.0,337.4,1003.3,18.8,24.1,0.0,1
80.4,0.0,10.1,327.8,1003.3,7.7,24.1,0.03,2
81.9,0.0,8.6,329.3,1011.5,4.4,7.0,0.06,2
83.1,0.0,10.1,338.7,1012.2,6.2,6.2,0.1,2
81.9,0.0,9.4,337.4,1012.0,8.8,5.7,0.13,2
82.2,0.0,10.4,349.0,1013.2,34.2,5.2,0.17,0
80.3,0.0,11.2,345.3,1013.6,50.4,5.4,0.2,0
82.4,0.0,11.9,341.2,1012.7,21.7,5.6,0.25,0
83.1,0.0,12.6,331.7,1011.8,6.2,5.7,0.27,2
79.7,0.0,9.7,316.6,1010.8,8.8,6.0,0.31,2
80.5,0.0,9.0,332.0,1010.3,0.5,4.6,0.34,2
81.0,0.0,11.5,355.6,1010.6,0.0,5.7,0.38,2
78.7,0.0,16.6,340.9,1010.7,0.0,6.2,0.41,2
80.8,0.0,13.0,328.4,1010.2,0.0,5.7,0.44,2
81.7,0.0,11.5,331.1,1010.5,1.4,5.9,0.48,2
80.1,0.0,11.2,334.0,1009.6,38.8,6.1,0.5,0
80.5,0.0,10.1,338.4,1010.6,43.5,6.0,0.55,0
76.9,0.0,9.4,333.6,1011.5,32.2,5.3,0.58,0
73.7,0.0,9.0,334.6,1010.7,46.4,5.7,0.61,0
76.3,4.7,9.7,5.4,1011.0,76.2,5.7,0.65,1
81.0,2.4,4.7,91.3,1010.7,74.3,4.8,0.68,1
87.4,25.4,9.0,199.9,1010.1,70.7,5.5,0.71,1
90.6,33.9,12.2,213.0,1009.8,61.9,5.0,0.75,1
87.5,3.1,9.0,335.7,1010.4,32.5,6.1,0.75,1
84.2,0.0,8.6,332.0,1009.3,37.8,5.7,0.81,0
75.4,0.0,9.4,326.4,1010.9,14.9,4.8,0.85,2
78.9,0.0,10.1,334.7,1012.6,3.0,5.6,0.88,2
80.5,0.0,10.4,316.7,1012.2,3.5,5.2,0.91,2
81.4,0.0,9.4,305.4,1012.0,21.6,5.1,0.94,0
81.9,0.0,9.7,299.0,1012.3,36.6,5.7,0.98,0
78.9,0.0,11.9,324.6,1011.3,8.4,5.7,0.0,2
78.8,0.0,14.0,347.8,1011.4,4.0,5.7,0.05,2
78.4,0.0,14.0,0.0,1012.5,32.1,5.7,0.08,0
80.1,0.0,11.5,9.6,1011.7,56.0,5.9,0.11,0
76.1,0.0,10.8,356.3,1010.6,82.2,5.8,0.15,0
74.0,0.0,12.6,357.9,1010.3,60.1,6.0,0.18,0
76.9,0.0,13.7,349.2,1011.7,36.0,5.9,0.25,0
73.0,0.0,12.2,339.8,1012.1,57.6,5.7,0.25,0
72.4,0.0,12.2,335.5,1012.0,21.2,5.7,0.28,0
69.4,0.0,14.0,333.7,1012.3,51.1,5.2,0.32,0
70.7,0.0,14.0,325.6,1012.1,18.0,5.9,0.35,2
67.7,0.0,12.6,317.3,1012.5,4.5,4.3,0.39,2
67.7,0.0,11.2,321.4,1013.0,12.4,4.7,0.42,2
68.9,0.0,12.2,326.0,1012.6,28.5,4.0,0.45,0
68.9,0.0,12.2,322.8,1012.2,0.5,5.6,0.5,2
68.3,0.0,11.5,321.6,1010.9,2.9,4.5,0.52,2
68.7,0.0,10.4,318.0,1010.8,1.6,4.5,0.56,2
69.8,0.0,12.6,335.4,1011.9,39.5,4.2,0.59,0
67.7,0.0,15.1,336.6,1013.6,51.9,4.5,0.62,0
68.4,0.0,12.6,322.3,1013.8,57.0,5.7,0.66,0
68.0,0.0,10.8,324.1,1013.5,40.8,5.3,0.69,0
71.8,0.0,10.8,312.1,1013.4,40.5,5.4,0.72,0
69.4,0.0,10.4,295.2,1012.9,4.5,3.3,0.75,2
69.2,0.0,10.1,297.7,1012.0,15.9,3.6,0.79,2
69.9,0.0,10.4,287.5,1011.5,24.1,3.8,0.83,0
66.7,0.0,10.1,295.2,1011.0,19.4,4.0,0.86,2
62.6,0.0,9.4,337.9,1011.7,22.6,3.8,0.89,0
65.5,0.0,7.6,128.4,1012.0,9.4,3.6,0.93,2
88.7,6.3,9.4,266.5,1011.6,30.9,5.1,0.96,1
77.3,0.0,8.3,2.4,1013.5,21.2,3.7,0.0,0
75.0,0.0,9.7,3.5,1016.6,12.1,3.2,0.03,2
74.3,0.0,13.3,356.4,1016.3,12.7,3.7,0.06,2
70.1,0.0,14.4,336.1,1016.0,48.8,4.2,0.1,0
73.3,0.0,13.0,329.1,1014.7,73.0,4.0,0.13,0
71.4,0.0,14.8,321.7,1014.0,36.4,3.2,0.16,0
71.1,0.0,9.7,318.6,1013.0,46.8,2.4,0.2,0
68.4,0.0,9.7,328.3,1012.9,21.7,2.5,0.25,0
66.8,0.0,11.2,346.4,1014.1,10.1,3.2,0.26,2
63.4,0.0,15.8,338.5,1014.7,0.0,3.0,0.29,2
71.3,0.0,13.7,344.4,1015.0,8.8,3.1,0.33,2
71.7,0.0,10.4,320.9,1014.7,9.1,4.4,0.36,2
67.4,0.0,11.5,326.6,1014.0,7.7,3.9,0.39,2
66.1,0.0,13.3,340.0,1013.8,0.3,3.9,0.43,2
67.8,0.0,14.0,334.9,1013.7,26.1,3.9,0.46,0
67.7,0.0,11.9,325.4,1012.5,49.1,2.2,0.5,0
66.0,0.0,10.8,328.9,1012.7,75.0,2.7,0.53,0
60.5,0.0,11.5,331.9,1012.6,70.9,2.5,0.56,0
58.8,0.0,10.1,330.4,1011.8,52.0,2.8,0.6,0
91.4,21.1,19.4,133.7,1002.4,88.9,6.5,0.23,1
89.6,6.6,12.2,157.7,1004.5,72.1,6.5,0.25,1
85.4,2.2,11.2,165.6,1004.9,58.1,9.2,0.3,1
90.0,3.7,14.0,142.3,1003.5,77.8,6.5,0.33,1
89.0,8.7,17.6,123.7,1001.3,88.3,6.3,0.37,1
87.9,4.0,22.0,116.9,1001.2,80.3,6.5,0.4,1
90.0,5.5,19.8,134.0,1003.6,86.7,6.5,0.44,1
89.4,8.5,15.8,168.1,1004.8,77.8,6.3,0.47,1
87.3,7.7,13.7,179.6,1004.2,78.6,6.6,0.5,1
