datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,river_discharge,apparent_temperature_mean,precipitation_sum ,rain_sum ,precipitation_hours,et0_fao_evapotranspiration
2016-12-03,0.07817589576547232,0.1390644753476612,0.09700598802395208,0.07,0.13897596656217348,0.09214659685863877,0.2147239263803681,0.8346560846560847,0.0,0.0,0.0,0.1074660633484163,0.9735964424680379,0.8566308243727647,0.20803295571575695,0.42016806722689076,0.46434843695117667,0.4493927125506073,0.625,0.04180296001935017,0.45270270270270263,0.0,0.0,0.0,0.32922318125770655
2016-12-04,0.05646036916395228,0.1251580278128951,0.08263473053892215,0.0472727272727273,0.12748171368861025,0.0774869109947644,0.19631901840490798,0.8148148148148149,0.0,0.0,0.0,0.16855203619909506,0.9310728182323513,0.8602150537634472,0.0,0.38655462184873945,0.4085001756234634,0.40485829959514164,0.5,0.041282005984876975,0.42229729729729726,0.0,0.0,0.0,0.35018495684340323
2016-12-05,0.0618892508143323,0.08723135271807837,0.06706586826347302,0.05363636363636365,0.09613375130616511,0.0638743455497382,0.17300613496932513,0.7817460317460319,0.0,0.0,0.0,0.14479638009049775,0.9107837687604224,0.8207885304659541,0.0,0.38655462184873945,0.44643484369511766,0.4412955465587044,0.625,0.04076595914428669,0.3952702702702703,0.0,0.0,0.0,0.341553637484587
2016-12-06,0.05754614549402823,0.08723135271807837,0.06347305389221558,0.04818181818181819,0.09613375130616511,0.06073298429319374,0.1754601226993865,0.806878306878307,0.0,0.0,0.0,0.12782805429864255,0.9013340744858255,0.8243727598566366,0.07518022657054584,0.31092436974789917,0.45872848612574646,0.45344129554655865,0.625,0.04038193164880447,0.41891891891891886,0.0,0.0,0.0,0.3193588162762023
2016-12-07,0.08360477741585234,0.0922882427307206,0.07784431137724551,0.06545454545454549,0.10031347962382448,0.07329842931937172,0.18404907975460122,0.7843915343915344,0.0,0.0,0.0,0.11990950226244346,0.924958310172318,0.7634408602150629,0.0,0.42016806722689076,0.4794520547945206,0.4655870445344129,0.625,0.04025450290442559,0.3986486486486487,0.0,0.0,0.0,0.3341553637484587
2016-12-08,0.05646036916395228,0.10366624525916564,0.07065868263473052,0.0472727272727273,0.10971786833855801,0.06701570680628272,0.18773006134969325,0.835978835978836,0.0,0.0,0.0,0.1481900452488688,0.9377431906614786,0.7383512544802926,0.0329557157569516,0.31932773109243695,0.4636459430979979,0.46153846153846145,0.625,0.04025450290442559,0.3682432432432432,0.0,0.0,0.0,0.3390875462392109
2016-12-09,0.043431053203040165,0.08723135271807837,0.053892215568862284,0.036363636363636376,0.09613375130616511,0.05235602094240838,0.16809815950920245,0.8214285714285714,0.0,0.0,0.0,0.13687782805429866,0.9244024458032241,0.6989247311827995,0.09886714727085479,0.34453781512605036,0.4394099051633299,0.43724696356275294,0.625,0.03987411623021134,0.33108108108108114,0.0,0.0,0.0,0.3255240443896425
2016-12-10,0.040173724212812206,0.06826801517067003,0.04670658682634729,0.03363636363636366,0.08045977011494254,0.04607329842931937,0.15214723926380366,0.7791005291005291,0.0,0.0,0.0,0.1402714932126697,0.9260700389105059,0.6917562724014417,0.05149330587023687,0.42016806722689076,0.469968387776607,0.46153846153846145,0.625,0.039370891412347384,0.29729729729729737,0.0,0.0,0.0,0.30332922318125777
2016-12-11,0.03474484256243218,0.058154235145385605,0.04550898203592815,0.02909090909090911,0.07210031347962384,0.04502617801047121,0.14723926380368096,0.7566137566137565,0.0,0.0,0.0,0.10407239819004527,0.9210672595886603,0.6989247311827995,0.33573635427394444,0.3697478991596639,0.46821215314366005,0.46153846153846145,0.625,0.03862468134899076,0.29054054054054046,0.0,0.0,0.0,0.29963008631319366
2016-12-12,0.040173724212812206,0.059418457648546155,0.03952095808383235,0.03363636363636366,0.07314524555903867,0.03979057591623039,0.1361963190184049,0.7367724867724867,0.0,0.0,0.0,0.1074660633484163,0.9207893274041135,0.6989247311827995,0.03398558187435633,0.37815126050420167,0.47137337548296454,0.46963562753036436,0.625,0.03801080722389594,0.277027027027027,0.0,0.0,0.0,0.3057953144266338
