datetime,tempmax_x,tempmin_x,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,windspeed_x,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,river_discharge,tempmax_y,tempmin_y,apparent_temperature_mean,precipitation_sum,rain_sum,precipitation_hours,windspeed_y,et0_fao_evapotranspiration
2019-05-01,37.6,27.3,31.5,42.9,31.3,36.3,23.7,66.3,0.0,0.0,0.0,25.9,190.0,0.0,50.9,0.0,301.7,25.9,10.0,84.7,35.0,27.3,35.0,0.5,0.5,2.0,21.2,5.49
2015-06-01,36.9,27.8,31.1,44.8,32.7,37.9,25.3,72.6,0.0,0.0,0.0,20.5,203.1,1003.3,61.1,7.6,133.1,11.4,4.0,91.68,34.8,28.3,35.3,0.0,0.0,0.0,22.4,5.63
2017-06-01,35.0,25.7,29.8,46.9,25.7,38.7,27.6,88.6,44.5,100.0,100.0,16.2,182.3,1002.2,82.9,5.5,95.4,8.3,3.0,110.94,33.0,28.0,35.5,19.2,19.2,12.0,19.9,3.28
2018-06-01,33.6,25.3,27.5,43.0,25.3,31.0,25.8,90.8,20.1,100.0,100.0,15.8,166.0,1006.0,78.3,6.1,83.3,7.2,3.0,210.35,31.7,25.5,34.2,14.0,14.0,15.0,13.7,2.95
2019-06-01,36.4,27.4,30.6,49.3,32.2,37.9,26.1,78.7,17.9,100.0,91.67,16.2,179.8,1003.4,67.1,5.5,241.3,21.0,8.0,126.94,34.3,26.6,35.5,8.3,8.3,15.0,15.1,4.42
2015-07-01,32.9,25.8,28.8,42.7,25.8,34.6,26.3,86.7,2.5,100.0,50.0,19.4,190.0,1004.1,53.6,6.8,250.0,21.6,8.0,350.56,30.5,25.2,32.7,21.6,21.6,19.0,12.6,2.49
2017-07-01,33.6,27.1,29.0,46.6,31.8,37.0,27.4,91.2,42.8,100.0,100.0,10.1,178.8,997.7,89.7,6.4,109.7,9.4,3.0,225.46,32.2,25.9,33.5,8.9,8.9,13.0,17.9,3.38
2018-07-01,34.9,26.8,28.9,46.3,30.5,35.6,26.6,88.0,5.1,100.0,62.5,18.4,202.5,1002.0,82.4,4.6,166.3,14.4,6.0,245.6,30.6,26.7,33.4,10.1,10.1,10.0,21.1,3.9
2019-07-01,32.3,26.9,29.3,42.5,30.9,36.5,26.6,86.1,8.2,100.0,75.0,22.3,111.6,997.0,74.4,4.9,224.8,19.4,8.0,205.06,31.3,26.6,33.6,6.1,6.1,10.0,19.6,4.0
2015-08-01,27.5,25.3,26.2,32.3,25.3,27.1,25.4,95.6,34.9,100.0,100.0,32.8,176.1,997.1,93.4,5.8,113.7,9.9,4.0,632.87,27.5,24.5,29.4,7.4,7.4,14.0,21.7,1.45
2017-08-01,33.9,26.3,29.5,43.7,26.3,36.8,26.9,86.6,1.7,100.0,66.67,10.1,199.5,1002.2,77.6,6.6,208.9,17.9,7.0,337.84,33.1,26.8,36.1,5.6,5.6,6.0,11.8,4.46
2018-08-01,28.9,25.9,27.0,35.5,25.9,29.8,25.8,93.1,35.2,100.0,100.0,23.4,232.9,998.7,91.4,5.9,182.6,15.7,6.0,348.95,27.8,25.5,31.5,6.1,6.1,15.0,17.9,1.46
2019-08-01,33.4,25.7,28.7,42.7,25.7,34.4,26.3,87.5,9.7,100.0,70.83,13.3,182.0,1000.7,73.2,5.0,241.6,20.9,8.0,194.43,31.4,26.4,34.4,1.7,1.7,4.0,12.9,3.91
2014-09-01,30.4,25.9,27.5,38.1,25.9,31.1,25.9,91.4,21.1,100.0,100.0,19.4,133.7,1002.4,88.9,6.5,164.4,14.2,6.0,255.45,27.1,24.7,30.0,18.9,18.9,23.0,19.8,1.29
2015-09-01,29.7,26.4,27.9,36.8,26.4,32.5,26.3,91.6,38.1,100.0,100.0,7.6,217.7,1001.8,88.2,6.5,122.6,10.7,4.0,468.89,27.2,25.5,32.2,22.2,22.2,18.0,11.1,0.96
2017-09-01,31.8,26.4,28.0,42.1,26.4,33.0,26.6,92.3,15.0,100.0,100.0,12.6,198.0,1004.4,90.5,6.3,101.0,8.6,4.0,331.66,29.7,25.5,32.6,14.4,14.4,23.0,13.9,1.88
2018-09-01,32.4,26.2,28.3,41.4,26.2,33.3,26.3,89.2,12.2,100.0,100.0,14.4,173.4,1002.8,77.4,6.1,139.9,12.1,5.0,232.35,30.2,25.2,32.1,8.6,8.6,15.0,18.3,3.18
2019-09-01,35.7,26.5,29.4,47.7,26.5,36.7,26.9,87.4,13.4,100.0,100.0,11.2,270.8,1000.7,87.8,5.1,127.3,11.0,4.0,220.31,32.1,25.9,35.1,20.2,20.2,18.0,8.6,3.19
2014-10-01,34.0,25.5,29.3,42.2,25.5,34.1,24.6,76.4,2.1,100.0,45.83,5.4,351.5,1009.9,28.8,6.4,233.5,20.2,8.0,183.93,32.1,25.1,35.0,0.2,0.2,1.0,6.9,4.02
2015-10-01,33.7,27.0,29.7,45.5,30.1,36.9,26.2,82.6,0.0,0.0,0.0,7.2,285.3,1009.9,72.7,5.9,195.9,16.8,7.0,297.54,32.9,26.5,36.7,2.3,2.3,6.0,7.6,3.99
2017-10-01,31.9,26.0,27.5,40.6,26.0,31.4,26.3,93.4,22.3,100.0,100.0,9.7,164.5,1008.0,82.8,5.9,89.8,8.0,3.0,330.89,30.3,24.9,32.6,9.3,9.3,9.0,15.1,2.41
2018-10-01,35.1,24.6,29.0,46.5,24.6,32.9,24.6,78.6,0.0,0.0,0.0,7.6,271.7,1008.5,52.5,6.0,234.5,20.1,8.0,165.72,33.4,24.6,33.9,0.0,0.0,0.0,8.3,4.72
2019-10-01,31.6,24.7,26.8,40.1,24.7,29.0,25.2,91.2,19.8,100.0,100.0,12.6,222.8,1008.3,66.3,3.9,176.3,15.2,6.0,195.79,29.0,24.1,31.6,5.0,5.0,11.0,10.7,2.34
2014-11-01,32.0,19.8,25.0,33.7,19.8,25.8,20.7,79.3,0.0,0.0,0.0,9.0,334.7,1010.9,31.8,4.9,223.3,19.5,8.0,104.93,29.8,19.7,27.6,0.0,0.0,0.0,8.7,3.86
2015-11-01,27.4,21.7,24.2,29.9,21.7,24.5,22.3,89.4,2.9,100.0,79.17,14.0,109.3,1014.2,74.7,5.4,183.6,15.9,7.0,160.06,26.9,21.6,25.4,5.0,5.0,13.0,17.9,2.09
