,Mean Temperature Day,Mean Temperature Night,year,.geo,District
117,276.40296681449746,140.21042972931627,2012.0,"{""type"":""MultiPoint"",""coordinates"":[]}",Brahmanbaria
118,248.04659733441025,110.60945072697896,2013.0,"{""type"":""MultiPoint"",""coordinates"":[]}",Brahmanbaria
119,261.3386894533971,134.51010077555378,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}",Brahmanbaria
120,261.81075428730776,157.60775201003855,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}",Brahmanbaria
121,280.26861096921004,137.65476245762318,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}",Brahmanbaria
122,281.3237550564932,154.23666713163158,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}",Brahmanbaria
123,227.96847538010877,152.96898684149343,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}",Brahmanbaria
124,274.7719347189287,135.56669921420934,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}",Brahmanbaria
125,271.9622448505138,146.93913609522477,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}",Brahmanbaria
126,238.49012942088623,130.27017355519774,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}",Chandpur
127,229.11091818308108,118.97144037292736,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}",Chandpur
128,259.22894878384017,125.96868463515209,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}",Chandpur
129,274.9784219190968,123.20654985888991,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}",Chandpur
130,251.749498144656,114.1465417604477,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}",Chandpur
131,250.57002708396027,144.38122178754136,2008.0,"{""type"":""MultiPoint"",""coordinates"":[]}",Chandpur
132,247.2405680502225,122.97123179130855,2009.0,"{""type"":""MultiPoint"",""coordinates"":[]}",Chandpur
133,236.958852672751,131.65246414602348,2010.0,"{""type"":""MultiPoint"",""coordinates"":[]}",Chandpur
134,249.5874564047999,130.54194006029437,2011.0,"{""type"":""MultiPoint"",""coordinates"":[]}",Chandpur
135,250.0457166636942,127.78568456096544,2012.0,"{""type"":""MultiPoint"",""coordinates"":[]}",Chandpur
136,227.2528199374004,105.4067206047363,2013.0,"{""type"":""MultiPoint"",""coordinates"":[]}",Chandpur
137,244.844597058466,132.97635833232036,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}",Chandpur
138,242.80582877959927,147.47887067395263,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}",Chandpur
139,259.316336453142,132.28582715449127,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}",Chandpur
140,261.69264830765496,151.62089045250514,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}",Chandpur
141,207.25409438311289,130.51419386145818,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}",Chandpur
142,274.3065631444861,134.51370860123745,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}",Chandpur
143,266.7252213999758,142.37692587650116,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}",Chandpur
144,240.24549442418467,132.6964748163416,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}",Chapainababganj
145,228.91454343114853,104.95851435837656,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}",Chapainababganj
146,266.88815270547394,127.59068202134924,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}",Chapainababganj
147,275.5665423212315,114.71355014973987,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}",Chapainababganj
148,240.4777268174389,100.74737729980492,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}",Chapainababganj
149,252.23897814063724,112.51619699762968,2008.0,"{""type"":""MultiPoint"",""coordinates"":[]}",Chapainababganj
150,250.8618160713343,115.51078984857274,2009.0,"{""type"":""MultiPoint"",""coordinates"":[]}",Chapainababganj
151,230.8561445909736,103.5976461934534,2010.0,"{""type"":""MultiPoint"",""coordinates"":[]}",Chapainababganj
152,232.2455908754885,109.50596683915931,2011.0,"{""type"":""MultiPoint"",""coordinates"":[]}",Chapainababganj
153,258.49728733210424,76.85072425599157,2012.0,"{""type"":""MultiPoint"",""coordinates"":[]}",Chapainababganj
154,236.7797549899672,88.39692681381347,2013.0,"{""type"":""MultiPoint"",""coordinates"":[]}",Chapainababganj
155,248.67942841736328,128.77352386087887,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}",Chapainababganj
156,251.76524963723327,102.4765410866878,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}",Chapainababganj
157,248.9632712237556,113.1854158835848,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}",Chapainababganj
158,252.92100867503635,131.52120265100487,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}",Chapainababganj
159,243.64701761948396,121.85543402122956,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}",Chapainababganj
160,258.2690877741258,106.16013793846652,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}",Chapainababganj
161,204.57174416725036,114.64168328034914,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}",Chapainababganj
162,239.20808235002892,138.76384190114698,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}",Chattogram
163,267.27421532695865,141.66040033016927,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}",Chattogram
164,277.5739486077832,135.9120879120879,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}",Chattogram
165,290.3845152491942,127.5078725514506,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}",Chattogram
166,258.26025217031844,123.1479330301778,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}",Chattogram
167,278.2672328291596,148.01686089759494,2008.0,"{""type"":""MultiPoint"",""coordinates"":[]}",Chattogram
168,268.737060768913,127.9005374121538,2009.0,"{""type"":""MultiPoint"",""coordinates"":[]}",Chattogram
169,260.6812079859498,139.17687788925448,2010.0,"{""type"":""MultiPoint"",""coordinates"":[]}",Chattogram
