datetime,Unnamed: 0.1,name,tempmax_x,tempmin_x,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed_x,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations,Unnamed: 0,weathercode,tempmax_y,tempmin_y,temperature_2m_mean,apparent_temperature_mean,precipitation_sum,rain_sum,precipitation_hours,windspeed_y,et0_fao_evapotranspiration,river_discharge
01-05-2015,850,Naryanganj ,107.3,77.8,92.2,102.4,77.8,89.0,42.6,20.1,0.0,0,0.0,,,,,16.8,290.7,1004.5,7.2,2.5,321.0,27.7,10,,2015-05-01T05:36:39,2015-05-01T18:36:01,0.41,Clear,Clear conditions throughout the day.,clear-day,"42675099999,remote",1946,61,29.0,22.5,25.6,30.4,11.2,11.2,15.0,13.5,2.23,357.92
01-05-2016,1216,Naryanganj ,110.2,77.1,93.7,110.2,77.1,90.0,37.9,17.3,0.0,0,0.0,,,,,14.1,283.8,1006.3,17.9,3.9,323.4,28.0,10,,2016-05-01T05:36:08,2016-05-01T18:36:20,0.81,Clear,Clear conditions throughout the day.,clear-day,"42675099999,42776099999,remote",2312,63,35.7,25.0,29.5,34.0,7.2,7.2,2.0,21.7,5.86,255.45
01-05-2017,1581,Naryanganj ,105.7,78.9,92.4,101.1,78.9,89.5,46.8,22.6,0.0,0,0.0,,,,,6.9,228.3,1008.9,27.2,3.7,280.6,24.2,9,,2017-05-01T05:36:17,2017-05-01T18:36:13,0.17,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42675099999,42776099999,remote",2677,63,31.6,24.2,27.9,32.9,6.4,6.4,6.0,18.9,4.47,483.17
01-05-2018,1946,Naryanganj ,109.8,80.6,93.8,105.9,81.5,92.2,52.9,27.2,0.0,0,0.0,,,,,12.8,240.9,1005.1,29.4,3.5,318.9,27.6,10,,2018-05-01T05:36:27,2018-05-01T18:36:08,0.54,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42675099999,42776099999,VAJB,remote",3042,61,29.6,22.7,25.8,30.2,8.4,8.4,12.0,10.7,2.84,315.96
01-05-2019,2311,Naryanganj ,111.3,76.7,93.9,111.3,76.7,90.9,40.1,16.6,0.0,0,0.0,,,,,11.4,303.0,1004.5,14.7,3.2,334.4,28.9,10,,2019-05-01T05:36:38,2019-05-01T18:36:02,0.88,Clear,Clear conditions throughout the day.,clear-day,"42675099999,42776099999,VAJB,remote",3407,55,34.6,26.8,30.0,34.7,1.2,1.2,2.0,20.4,5.37,202.7
01-05-2020,2677,Naryanganj ,105.3,55.7,87.2,102.3,55.7,86.0,53.5,32.6,0.012,100,12.5,rain,,,23.0,13.2,312.7,1008.5,14.2,2.7,291.8,25.4,9,,2020-05-01T05:36:07,2020-05-01T18:36:22,0.25,Rain,Clear conditions throughout the day with early morning rain.,rain,"42675099999,42776099999,VAJB,remote",3773,63,29.6,22.8,25.4,30.5,9.7,9.7,10.0,11.6,3.38,252.51
01-05-2021,3069,Naryanganj,105.9,76.6,90.7,101.5,76.6,88.3,45.8,22.4,0.0,0,0.0,,,,,12.6,226.0,1009.3,45.1,2.5,301.4,26.1,10,,2021-05-01T05:36:18,2021-05-01T18:36:16,0.64,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42675099999,42776099999,VAJB,remote",4138,51,35.4,25.9,30.5,35.0,1.3,1.3,5.0,10.9,5.66,173.18
01-05-2022,3434,Naryanganj,109.4,83.6,95.1,105.4,81.0,91.7,45.3,19.2,0.0,0,0.0,,0.0,0.0,23.0,11.4,274.0,1002.3,24.5,6.8,332.4,28.8,10,10.0,2022-05-01T05:36:28,2022-05-01T18:36:11,0.0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42675099999,42776099999,VAJB,remote",4503,51,33.5,24.9,29.3,34.5,0.2,0.2,2.0,15.1,4.43,222.87
01-05-2023,3799,Naryanganj,83.9,66.8,73.9,85.6,66.8,74.2,65.7,76.6,0.331,100,25.0,rain,0.0,0.0,26.4,15.0,186.7,1008.4,68.5,6.3,300.3,25.9,10,30.0,2023-05-01T05:36:38,2023-05-01T18:36:05,0.36,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"42675099999,42776099999,VAJB,remote",4868,55,32.2,25.0,28.3,32.4,1.1,1.1,2.0,17.6,4.36,183.08
01-06-2013,151,Naryanganj ,109.1,81.2,94.9,104.7,79.9,92.7,49.6,23.8,0.0,0,0.0,,,,,14.3,356.4,998.5,47.2,2.5,324.5,28.2,10,,2013-06-01T05:23:36,2013-06-01T18:50:14,0.75,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"42675099999,remote",1247,51,30.6,24.8,27.7,33.3,0.6,0.6,3.0,10.5,3.68,557.47
01-06-2014,516,Naryanganj ,114.0,86.1,99.4,114.0,87.0,99.5,57.5,27.1,0.012,100,8.33,rain,,,,11.4,354.3,1001.0,40.4,2.5,310.0,26.9,10,,2014-06-01T05:23:38,2014-06-01T18:50:08,0.11,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"42675099999,remote",1612,61,30.4,25.2,27.4,33.0,7.0,7.0,14.0,14.5,3.41,224.94
