datetime,Unnamed: 0.1,name,tempmax_x,tempmin_x,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed_x,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations,Unnamed: 0_x,river_discharge,Unnamed: 0_y,weathercode,tempmax_y,tempmin_y,temperature_2m_mean,apparent_temperature_mean,precipitation_sum,rain_sum,precipitation_hours,windspeed_y,et0_fao_evapotranspiration
13-05-2020,2508,"Mymensingh,Bangladesh",33.1,25.1,28.5,39.5,25.1,32.0,24.6,81.1,1.2,100.0,37.5,rain,,,,15.1,192.4,1006.8,36.8,5.9,265.8,23.0,9,,2020-05-13T05:15:27,2020-05-13T18:34:18,0.69,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"41886099999,remote,41909099999",4150,88.13,3785,63,30.9,22.1,26.2,31.0,31.3,31.3,21.0,13.2,3.93
13-05-2021,2873,"Mymensingh,Bangladesh",33.4,24.0,28.5,38.7,24.0,31.3,23.4,75.3,12.0,100.0,79.17,rain,,,,13.3,179.1,,22.6,,248.4,21.5,8,,2021-05-13T05:15:35,2021-05-13T18:34:11,0.05,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,remote,4515,110.43,4150,65,29.0,22.0,24.9,29.4,60.3,60.3,24.0,12.0,2.99
13-05-2022,3238,"Mymensingh,Bangladesh",31.3,23.9,27.3,37.5,23.9,30.2,24.1,83.7,49.2,100.0,83.33,rain,0.0,0.0,30.6,22.7,168.9,1001.4,60.1,10.1,230.8,20.1,8,30.0,2022-05-13T05:15:44,2022-05-13T18:34:04,0.4,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,remote,4880,138.64,4515,63,30.2,24.5,26.9,32.0,27.5,27.5,23.0,19.5,2.49
13-05-2023,3603,"Mymensingh,Bangladesh",37.2,25.4,30.7,39.0,25.4,31.9,18.0,50.4,0.0,0.0,0.0,,0.0,0.0,21.6,13.3,99.1,1005.4,96.9,18.1,264.9,22.9,9,10.0,2023-05-13T05:15:52,2023-05-13T18:33:58,0.77,Overcast,Cloudy skies throughout the day.,cloudy,"41886099999,remote,41909099999",5245,74.51,4880,1,35.4,24.3,30.0,33.7,0.0,0.0,0.0,13.0,6.34
13-06-2014,163,"Mymensingh,Bangladesh",32.7,24.2,29.5,45.3,24.2,37.9,27.2,87.8,14.7,100.0,100.0,rain,,,46.4,16.6,160.1,997.2,61.4,6.3,118.4,10.1,3,,2014-06-13T05:08:44,2014-06-13T18:48:04,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"41886099999,remote,41909099999",1989,118.12,1624,53,33.1,25.2,29.2,35.5,3.3,3.3,11.0,13.0,3.01
13-06-2015,528,"Mymensingh,Bangladesh",30.6,24.7,27.3,37.9,24.7,29.9,25.4,90.2,44.8,100.0,75.0,rain,,,,19.4,180.8,1002.1,89.2,4.7,186.4,16.3,7,,2015-06-13T05:08:44,2015-06-13T18:48:00,0.88,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"41886099999,remote,41909099999",2354,314.5,1989,63,30.5,24.6,26.5,31.9,32.0,32.0,23.0,13.9,1.62
13-06-2016,894,"Mymensingh,Bangladesh",29.9,26.4,28.0,39.5,26.4,33.5,26.9,93.8,7.0,100.0,100.0,rain,,,,18.7,162.9,,86.3,,102.8,8.8,3,,2016-06-13T05:08:47,2016-06-13T18:48:14,0.26,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,remote,2720,215.27,2355,55,29.2,24.6,26.6,32.4,7.6,7.6,17.0,10.5,2.08
13-06-2017,1259,"Mymensingh,Bangladesh",30.7,25.4,28.1,43.1,25.4,34.4,27.2,94.7,24.0,100.0,100.0,rain,,,,20.9,211.3,998.6,86.3,5.0,100.3,8.6,3,,2017-06-13T05:08:45,2017-06-13T18:48:09,0.63,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"41886099999,remote,41909099999",3085,292.09,2720,63,32.2,24.7,28.4,33.6,17.0,17.0,11.0,14.4,3.35
13-06-2018,1624,"Mymensingh,Bangladesh",32.7,26.7,28.7,40.6,26.7,35.4,26.8,90.1,26.1,100.0,100.0,rain,,,,19.4,186.5,993.8,83.9,6.3,131.2,11.1,5,,2018-06-13T05:08:45,2018-06-13T18:48:05,0.98,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"41886099999,remote,41909099999",3450,230.21,3085,61,31.0,25.1,27.5,33.2,15.1,15.1,23.0,13.4,2.26
13-06-2019,2173,"Mymensingh,Bangladesh",33.7,28.1,30.6,45.3,35.0,39.9,27.4,84.1,1.2,100.0,33.33,rain,,,,12.6,207.9,998.7,82.0,6.3,124.0,10.7,4,,2019-06-13T05:08:44,2019-06-13T18:48:01,0.35,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"41886099999,remote,41909099999",3815,223.91,3450,53,34.8,26.5,30.5,38.2,1.9,1.9,7.0,8.7,5.16
13-06-2020,2539,"Mymensingh,Bangladesh",29.8,27.0,28.0,40.3,31.3,34.3,27.0,94.5,46.1,100.0,100.0,rain,,,,19.1,137.1,1002.4,95.5,4.9,84.5,7.3,3,,2020-06-13T05:08:48,2020-06-13T18:48:17,0.75,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"41886099999,remote,41909099999",4181,253.1,3816,63,30.0,25.5,26.8,31.9,18.4,18.4,20.0,15.5,2.08
13-06-2021,2904,"Mymensingh,Bangladesh",32.3,25.8,28.8,42.3,25.8,34.6,26.5,88.1,3.4,100.0,54.17,rain,,,,22.7,132.4,,62.0,,283.6,24.8,9,,2021-06-13T05:08:48,2021-06-13T18:48:13,0.1,"Rain, Partially cloudy",Clearing in the afternoon with a chance of rain throughout the day.,rain,remote,4546,146.23,4181,63,33.1,26.1,29.1,34.4,8.7,8.7,8.0,15.6,4.83
13-06-2022,3269,"Mymensingh,Bangladesh",32.3,24.8,27.8,40.5,24.8,31.2,25.3,87.1,19.3,100.0,70.83,rain,0.0,0.0,36.7,18.4,111.8,1003.8,93.6,19.6,195.1,16.6,7,75.0,2022-06-13T05:08:47,2022-06-13T18:48:09,0.46,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,remote,4911,182.65,4546,53,32.2,25.9,28.7,34.4,9.1,9.1,24.0,15.5,3.1
13-06-2023,3634,"Mymensingh,Bangladesh",36.1,26.0,30.1,42.0,26.0,34.8,24.6,74.1,6.1,100.0,45.83,rain,0.0,0.0,37.1,23.8,135.8,1001.0,50.5,17.7,222.6,19.2,8,30.0,2023-06-13T05:08:47,2023-06-13T18:48:05,0.82,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"41886099999,remote,41909099999",5276,112.24,4911,63,32.3,25.5,28.6,34.7,18.3,18.3,20.0,12.3,3.58
13-07-2014,193,"Mymensingh,Bangladesh",34.5,27.4,29.8,46.2,32.7,37.9,27.1,86.3,4.2,100.0,100.0,rain,,,,13.7,144.0,1000.0,90.3,6.9,148.3,12.8,6,,2014-07-13T05:17:25,2014-07-13T18:50:35,0.53,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"41886099999,remote,41909099999",2019,196.7,1654,61,33.1,26.5,29.3,35.8,9.4,9.4,15.0,9.0,3.91
13-07-2015,558,"Mymensingh,Bangladesh",34.1,26.4,29.9,45.1,26.4,37.8,27.0,85.1,2.2,100.0,75.0,rain,,,,13.7,185.2,1001.4,66.1,6.6,309.1,26.9,10,,2015-07-13T05:17:19,2015-07-13T18:50:38,0.9,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"41886099999,remote,41909099999",2384,284.76,2019,61,32.5,26.1,28.8,35.4,12.4,12.4,19.0,8.9,3.45
13-07-2016,924,"Mymensingh,Bangladesh",32.5,26.2,29.2,44.0,26.2,36.0,26.9,88.0,21.9,100.0,100.0,rain,,,,17.6,169.1,1001.2,75.7,6.7,285.6,24.8,9,,2016-07-13T05:17:39,2016-07-13T18:50:29,0.28,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"41886099999,remote,41909099999",2750,184.35,2385,63,30.6,25.7,27.3,32.8,16.9,16.9,21.0,16.0,1.94
13-07-2017,1289,"Mymensingh,Bangladesh",30.2,25.4,27.7,37.6,25.4,31.8,26.1,91.4,12.9,100.0,100.0,rain,,,,18.0,136.6,1003.6,83.6,6.6,184.8,15.9,6,,2017-07-13T05:17:32,2017-07-13T18:50:32,0.64,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"41886099999,remote,41909099999",3115,335.51,2750,53,30.0,24.9,26.8,31.9,2.5,2.5,9.0,12.3,2.58
13-07-2018,1666,"Mymensingh,Bangladesh",32.0,26.8,29.1,42.7,30.6,36.5,26.9,88.1,3.7,100.0,75.0,rain,,,,14.4,128.9,998.9,87.4,6.1,194.9,16.9,8,,2018-07-13T05:17:26,2018-07-13T18:50:35,0.0,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"41886099999,remote,41909099999",3480,200.84,3115,55,31.9,26.4,28.9,34.8,6.5,6.5,13.0,11.4,3.46
13-07-2018,1667,"Mymensingh,Bangladesh",32.0,26.8,29.1,42.7,30.6,36.5,26.9,88.1,3.7,100.0,75.0,rain,,,,14.4,128.9,998.9,87.4,6.1,194.9,16.9,8,,2018-07-13T05:17:26,2018-07-13T18:50:35,0.0,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"41886099999,remote,41909099999",3480,200.84,3115,55,31.9,26.4,28.9,34.8,6.5,6.5,13.0,11.4,3.46
13-07-2019,2203,"Mymensingh,Bangladesh",30.7,26.0,28.1,41.6,26.0,33.7,26.9,93.2,88.6,100.0,100.0,rain,,,,22.0,191.1,1002.5,95.8,5.3,145.9,12.5,5,,2019-07-13T05:17:21,2019-07-13T18:50:39,0.37,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"41886099999,remote,41909099999",3845,316.69,3480,65,30.0,24.9,26.8,32.8,53.5,53.5,24.0,12.3,1.79
13-07-2020,2569,"Mymensingh,Bangladesh",32.9,26.1,28.8,43.7,26.1,35.0,26.7,89.0,7.5,100.0,100.0,rain,,,,16.2,187.0,1001.2,89.4,6.0,232.6,20.0,7,,2020-07-13T05:17:41,2020-07-13T18:50:30,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"41886099999,remote,41909099999",4211,374.84,3846,53,31.0,24.9,27.1,32.7,5.2,5.2,11.0,11.8,1.88
