datetime,Unnamed: 0_x,name,tempmax_x,tempmin_x,temp,feelslikemax_x,feelslikemin_x,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed_x,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations,Unnamed: 0_y,weathercode,tempmax_y,tempmin_y,temperature_2m_mean,feelslikemax_y,feelslikemin_y,apparent_temperature_mean,precipitation_sum,rain_sum,precipitation_hours ,windspeed_y,et0_fao_evapotranspiration,river_discharge
2014-01-23,22,Chittagong,29.0,16.0,22.0,28.6,16.0,21.9,15.0,67.6,0.0,0,0.0,,,,,14.8,305.4,1014.9,4.6,3.8,208.8,18.0,8,,2014-01-23T06:34:10,2014-01-23T17:35:07,0.74,Clear,Clear conditions throughout the day.,clear-day,"41963099999,41966099999,41965099999,41978099999,41964099999,VGEG,remote,41989099999",1483,0,26.4,16.8,21.3,28.6,17.4,22.2,0.0,0.0,0,11.2,3.56,0.16
2014-01-24,23,Chittagong,29.0,15.8,21.6,28.8,15.8,21.6,16.1,73.9,0.0,0,0.0,,,,,18.4,293.3,1014.1,3.3,3.4,210.7,18.1,8,,2014-01-24T06:33:59,2014-01-24T17:35:49,0.75,Clear,Clear conditions throughout the day.,clear-day,"41966099999,41965099999,41978099999,41964099999,VGEG,remote,41989099999",1484,0,25.6,16.6,20.9,27.1,17.2,21.6,0.0,0.0,0,13.2,3.58,0.16
2014-01-25,24,Chittagong,27.0,16.3,21.7,27.1,16.3,21.7,15.0,68.2,0.0,0,0.0,,,,,25.9,348.3,1012.9,0.4,3.8,205.5,17.7,8,,2014-01-25T06:33:47,2014-01-25T17:36:30,0.81,Clear,Clear conditions throughout the day.,clear-day,"41963099999,41966099999,41965099999,41978099999,41964099999,VGEG,remote,41989099999",1485,0,26.2,17.1,21.3,26.8,16.6,21.1,0.0,0.0,0,15.4,4.05,0.16
2014-01-26,25,Chittagong,26.0,16.3,21.2,26.0,16.3,21.2,14.5,67.1,0.0,0,0.0,,,,,27.7,338.1,1014.2,0.0,3.8,222.6,19.3,8,,2014-01-26T06:33:33,2014-01-26T17:37:11,0.84,Clear,Clear conditions throughout the day.,clear-day,"41963099999,41966099999,41965099999,41978099999,41964099999,VGEG,remote,41989099999",1486,0,26.0,17.3,21.0,25.9,16.0,20.1,0.0,0.0,0,17.8,4.37,0.16
2014-01-27,26,Chittagong,25.0,14.6,19.7,25.0,14.6,19.7,13.9,72.0,0.0,0,0.0,,,,,25.9,339.9,1014.4,1.0,3.9,218.6,18.9,8,,2014-01-27T06:33:18,2014-01-27T17:37:52,0.88,Clear,Clear conditions throughout the day.,clear-day,"41966099999,41965099999,41978099999,41964099999,VGEG,remote,41989099999",1487,0,24.9,15.6,19.9,25.1,14.5,19.4,0.0,0.0,0,15.0,3.87,0.16
2014-01-28,27,Chittagong,22.0,14.7,18.5,22.0,14.7,18.5,14.4,78.1,0.0,0,0.0,,,,,25.9,348.4,1014.5,50.7,2.5,159.2,13.7,6,,2014-01-28T06:33:02,2014-01-28T17:38:32,0.91,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"41963099999,41966099999,41965099999,41978099999,41964099999,VGEG,remote,41989099999",1488,1,24.3,15.7,19.6,25.0,14.7,19.3,0.0,0.0,0,14.4,3.54,0.16
2014-01-29,28,Chittagong,25.0,14.7,19.4,25.0,14.7,19.4,15.0,77.2,0.0,0,0.0,,,,,18.4,337.3,1014.6,47.1,3.1,224.0,19.4,8,,2014-01-29T06:32:44,2014-01-29T17:39:12,0.94,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"41963099999,41966099999,41965099999,41978099999,41964099999,VGEG,remote,41989099999",1489,1,25.4,15.7,20.0,26.8,15.1,20.2,0.0,0.0,0,14.7,3.53,0.16
2014-01-30,29,Chittagong,27.0,14.7,20.5,27.3,14.7,20.5,14.8,71.9,0.0,0,0.0,,,,,16.6,340.0,1014.6,19.5,3.7,228.2,19.7,8,,2014-01-30T06:32:25,2014-01-30T17:39:52,0.98,Clear,Clear conditions throughout the day.,clear-day,"41966099999,41965099999,41978099999,41964099999,VGEG,remote,41989099999",1490,1,26.3,15.6,20.4,28.2,15.5,21.0,0.0,0.0,0,10.4,3.67,0.16
2014-01-31,30,Chittagong,27.0,15.7,21.2,27.3,15.7,21.2,15.3,71.2,0.0,0,0.0,,,,,18.4,327.9,1014.6,1.1,3.6,227.1,19.5,8,,2014-01-31T06:32:05,2014-01-31T17:40:31,0.0,Clear,Clear conditions throughout the day.,clear-day,"41963099999,41966099999,41965099999,41978099999,41964099999,VGEG,remote,41989099999",1491,0,26.5,16.5,21.0,28.2,16.2,21.3,0.0,0.0,0,13.4,3.93,0.16
2014-02-01,31,Chittagong,25.0,15.2,20.7,25.0,15.2,20.7,16.4,77.6,0.0,0,0.0,,,,,22.3,327.2,1013.6,1.5,3.2,221.5,19.3,8,,2014-02-01T06:31:43,2014-02-01T17:41:11,0.04,Clear,Clear conditions throughout the day.,clear-day,"41966099999,41965099999,41978099999,41964099999,VGEG,remote,41989099999",1492,0,26.4,16.8,21.2,27.9,16.4,21.4,0.0,0.0,0,13.6,4.02,0.16
