datetime,Unnamed: 0_x,name,tempmax_x,tempmin_x,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed_x,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations,Unnamed: 0.1,Unnamed: 0_y,river_discharge,Unnamed: 0,weathercode,tempmax_y,tempmin_y,temperature_2m_mean,apparent_temperature_mean,precipitation_sum,rain_sum,precipitation_hours,windspeed_y,et0_fao_evapotranspiration
01-04-2019,1521,"24.8990,91.8711",84.5,59.1,73.8,89.7,59.1,74.8,67.6,82.0,0.41,100,8.33,rain,,,,8.7,170.8,1013.3,41.8,1.5,210.1,18.1,7,,2019-04-01T05:44:45,2019-04-01T18:08:39,0.87,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"42618099999,42515099999,remote,42516099999",3742,3742,2.0,3377,61,27.8,19.2,22.7,25.7,9.0,9.0,13.0,12.0,2.93
01-04-2020,1887,"24.8990,91.8711",96.5,66.3,81.7,92.7,66.3,80.3,50.8,37.7,0.0,0,0.0,,,,,10.2,232.6,1008.9,6.4,3.0,297.9,25.7,10,,2020-04-01T05:43:59,2020-04-01T18:08:59,0.25,Clear,Clear conditions throughout the day.,clear-day,"42618099999,41915099999,42515099999,41891099999,remote,42516099999",4108,4108,0.91,3743,0,34.1,17.2,26.3,26.6,0.0,0.0,0.0,10.3,5.81
01-04-2021,3226,"24.8990,91.8711",94.6,62.0,78.2,99.3,62.0,79.7,67.6,73.4,0.505,100,41.67,rain,,,,10.1,200.8,1002.5,21.3,1.8,269.8,23.2,9,,2021-04-01T05:44:15,2021-04-01T18:08:54,0.62,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"42618099999,42515099999,remote,42516099999",4473,4473,2.85,4108,61,27.9,20.5,23.3,27.0,8.1,8.1,11.0,9.0,2.51
01-04-2022,3591,"24.8990,91.8711",78.2,63.2,71.4,78.2,63.2,71.4,67.8,88.7,0.787,100,8.33,rain,0.0,0.0,18.6,11.0,98.2,1009.8,81.7,11.5,61.3,5.3,4,10.0,2022-04-01T05:44:30,2022-04-01T18:08:48,0.0,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"42618099999,42515099999,remote,42516099999",4838,4838,1.88,4473,63,29.1,21.7,24.4,28.6,26.0,26.0,23.0,8.8,2.59
01-04-2022,3956,"24.8990,91.8711",78.2,63.2,71.4,78.2,63.2,71.4,67.8,88.7,0.787,100,8.33,rain,0.0,0.0,18.6,11.0,98.2,1009.8,81.7,11.5,61.3,5.3,4,10.0,2022-04-01T05:44:30,2022-04-01T18:08:48,0.0,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"42618099999,42515099999,remote,42516099999",4838,4838,1.88,4473,63,29.1,21.7,24.4,28.6,26.0,26.0,23.0,8.8,2.59
01-04-2023,4321,"24.8990,91.8711",83.4,67.9,74.1,84.3,67.9,74.2,65.8,76.2,0.012,100,4.17,rain,0.0,0.0,10.1,6.6,106.5,1009.3,81.7,9.1,164.4,14.2,9,10.0,2023-04-01T05:44:45,2023-04-01T18:08:42,0.34,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"42618099999,41915099999,42515099999,41891099999,remote,42516099999",5203,5203,3.44,4838,63,26.2,19.0,21.7,25.0,26.3,26.3,20.0,7.8,2.06
01-05-2013,334,"24.8990,91.8711",99.1,73.2,85.4,107.4,73.2,90.7,74.0,72.2,0.77,100,62.5,rain,,,,14.5,197.7,1004.2,23.6,2.8,286.8,25.0,9,,2013-05-01T05:17:05,2013-05-01T18:22:28,0.69,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"41915099999,41891099999,remote",1581,1581,4.25,1216,63,26.3,21.9,23.3,27.2,77.9,77.9,24.0,10.4,1.33
01-05-2014,699,"24.8990,91.8711",95.6,77.6,85.0,100.8,77.6,90.0,73.1,69.7,0.107,100,45.83,rain,,,,8.1,187.3,1006.7,72.6,3.2,175.7,15.1,6,,2014-05-01T05:17:17,2014-05-01T18:22:21,0.06,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"41915099999,41891099999,remote",1946,1946,2.03,1581,63,31.1,22.3,26.5,31.8,12.6,12.6,7.0,8.1,3.9
01-05-2015,2037,"24.8990,91.8711",88.1,73.7,79.8,98.5,73.7,83.5,74.3,84.0,1.035,100,70.83,rain,,,,7.4,179.3,1008.6,68.3,2.8,259.1,22.3,8,,2015-05-01T05:17:28,2015-05-01T18:22:15,0.41,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"41915099999,41891099999,remote",2311,2311,4.31,1946,61,24.6,21.4,23.0,26.9,13.1,13.1,18.0,9.2,1.51
01-05-2016,2403,"24.8990,91.8711",91.8,65.0,81.4,105.8,65.0,87.4,74.0,79.5,0.157,100,4.17,rain,,,41.4,9.8,156.4,1006.1,31.7,2.5,247.4,21.3,8,,2016-05-01T05:16:54,2016-05-01T18:22:36,0.81,"Rain, Partially cloudy",Clearing in the afternoon with morning rain.,rain,"42618099999,41915099999,42515099999,41891099999,remote,42516099999",2677,2677,7.75,2312,63,30.2,21.0,24.8,29.3,30.1,30.1,15.0,10.0,3.69
01-05-2017,2768,"24.8990,91.8711",90.4,68.1,78.8,93.3,68.1,81.6,73.6,86.0,0.472,100,4.17,rain,,,47.2,23.0,174.8,1010.5,64.1,2.6,111.1,9.6,4,,2017-05-01T05:17:04,2017-05-01T18:22:29,0.16,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"42618099999,41915099999,42515099999,41891099999,remote,42516099999",3042,3042,6.31,2677,63,29.7,22.3,25.5,30.1,7.6,7.6,10.0,9.0,3.44
